"DSTQ","19-Nov-2019","2003.4","2003.79","1980.75","1989.53","324025600"
"DSTR","19-Nov-2019","57.81","58.13","57","57.32","1526900"
"DSTS","19-Nov-2019","236.9","237.2","232.96","234.87","2361300"
"DSTT","19-Nov-2019","643.4","644.42","638.03","641.88","48485800"
"DSTY","19-Nov-2019","887.93","890.77","881.4","887.63","24556400"
"DSUO","19-Nov-2019","311.74","314","310.84","312.21","43204700"
"DSUT","19-Nov-2019","313.19","315.16","312.08","313.47","108493200"
"DSVE","19-Nov-2019","300.07","301.86","298.91","300.27","65288500"
"DSVN","19-Nov-2019","407.77","420.56","407.56","420.39","2824400"
"DSWC","19-Nov-2019","392.29","392.29","389.19","390.54","22200900"
"DSWU","19-Nov-2019","2610.09","2636.91","2600.02","2625.78","2579300"
"DTCI","19-Nov-2019","1826.11","1833.39","1823.42","1829.02","0"
"DTEI","19-Nov-2019","2193.42","2202.67","2190.16","2197.29","0"
"DTFD","19-Nov-2019","65","65","35","45","0"
"DTFI","19-Nov-2019","85","85","80","80","0"
"DTFX","19-Nov-2019","121.56","121.66","121.47","121.56","0"
"DTOF","19-Nov-2019","70","75","70","70","0"
"DTOH","19-Nov-2019","70","70","60","60","0"
"DTTH","19-Nov-2019","65","70","65","70","0"
"DTTW","19-Nov-2019","50","55","45","45","0"
"DTWC","19-Nov-2019","21000.67","21027.54","20906.55","20931.72","0"
"DTWI","19-Nov-2019","63185.71","63307.39","62879.51","62955.36","0"
"DTWT","19-Nov-2019","17504.47","17569.45","17396.57","17453.86","0"
"DTWU","19-Nov-2019","3739.39","3748.08","3711.9","3729.59","0"
"DUBS","19-Nov-2019","78.27","78.34","77.82","77.85","0"
"DUFD","19-Nov-2019","33.33","46.66","33.33","40","0"
"DUFI","19-Nov-2019","26.66","26.66","26.66","26.66","0"
"DUOF","19-Nov-2019","40","40","33.33","40","0"
"DUOH","19-Nov-2019","53.33","60","53.33","60","0"
"DUSL","19-Nov-2019","667.65","667.69","664.7","665.9","0"
"DUSM","19-Nov-2019","1155.29","1158.4","1150.82","1156","0"
"DUSS","19-Nov-2019","1134.59","1135.65","1129.11","1132.86","0"
"DUTH","19-Nov-2019","60","66.66","60","60","0"
"DUTW","19-Nov-2019","46.66","53.33","46.66","46.66","0"
"DVCA","19-Nov-2019","2.15","44.97","2.15","44.97","0"
"DVCC","19-Nov-2019","2.52","27.36","2.52","27.36","0"
"DVCE","19-Nov-2019","25.54","601.89","25.54","601.89","0"
"DVCN","19-Nov-2019","71.16","2050.96","71.16","2050.96","0"
"DVCQ","19-Nov-2019","33.14","846.21","33.14","846.21","0"
"DVCS","19-Nov-2019","10.36","153.15","10.36","153.15","0"
"DVCT","19-Nov-2019","106.46","2942.15","106.46","2942.15","0"
"DVCU","19-Nov-2019","109.98","1978.63","109.98","1753.91","0"
"DVCV","19-Nov-2019","3.28","37.85","3.28","37.59","0"
"DVCX","19-Nov-2019","16.17","218.1","16.17","218.1","0"
"DVS","19-Nov-2019","87.6","89.5","87.6","89.5","0"
"DWCB","19-Nov-2019","5872.06","5885.02","5839.22","5859.02","0"
"DXY","19-Nov-2019","97.8","97.88","97.75","97.82","0"
"EED","19-Nov-2019","37.11","37.33","37.06","37.19","0"
"EVZ","19-Nov-2019","5.38","5.44","4.97","5.3","0"
"FBV","19-Nov-2019","24.47","24.47","24.4","24.41","0"
"FVX","19-Nov-2019","1.64","1.64","1.61","1.62","0"
"GLD","19-Nov-2019","1470.99","1474.85","1465.18","1472.33","376432"
"GMI","19-Nov-2019","27.2","27.49","27.09","27.25","0"
"GNX","19-Nov-2019","415.64","416.07","409.08","409.67","0"
"GVX","19-Nov-2019","11.19","11.32","10.98","11.28","0"
"GVZ","19-Nov-2019","11.55","11.65","11.31","11.5","0"
"HGX","19-Nov-2019","357.95","358.54","356.27","356.64","0"
"HIGA","19-Nov-2019","2","2","2","2","0"
"HIGC","19-Nov-2019","0.01","0.01","0.01","0.01","0"
"HIGD","19-Nov-2019","0.01","0.01","0.01","0.01","0"
"HIGE","19-Nov-2019","335","335","335","335","0"
"HIGN","19-Nov-2019","89","89","89","89","0"
"HIGQ","19-Nov-2019","94","94","94","94","0"
"HIGS","19-Nov-2019","21","21","21","21","0"
"HIGU","19-Nov-2019","175","175","175","175","0"
"HIGV","19-Nov-2019","6","6","6","6","0"
"HUI","19-Nov-2019","213.78","218.15","213.56","215.33","0"
"HVX","19-Nov-2019","102.97","103.55","102.73","103.36","0"
"IDX","19-Nov-2019","2003.32","2006.02","1994.17","2001.35","529110200"
"INDS","19-Nov-2019","6559.91","6565.41","6524.42","6550.92","0"
"INSR","19-Nov-2019","9970.4","10013.92","9960.44","9975.6","0"
"IQX","19-Nov-2019","4552.09","4556.86","4533.04","4547.18","0"
"IQZ","19-Nov-2019","11457.13","11471.28","11403.26","11441.48","0"
"IRX","19-Nov-2019","1.53","1.53","1.52","1.52","0"
"IVX","19-Nov-2019","1250.06","1250.06","1242.24","1243.97","0"
"IXB","19-Nov-2019","638.77","639.13","633.46","635.02","0"
"IXCO","19-Nov-2019","5600.14","5600.45","5560.17","5578.89","0"
"IXE","19-Nov-2019","594.13","594.13","585.73","586.37","0"
"IXF","19-Nov-2019","4983.8","5008.8","4975.8","4999.41","0"
"IXHC","19-Nov-2019","849.12","861.85","849.12","859.36","0"
"IXI","19-Nov-2019","824.87","825.53","819.52","821.35","0"
"IXM","19-Nov-2019","367.18","367.95","365.94","366.72","0"
"IXR","19-Nov-2019","619.94","621.22","617.17","618.37","0"
"IXTC","19-Nov-2019","375.13","375.45","372.1","374.17","0"
"IXU","19-Nov-2019","632.46","636.45","630.15","633","0"
"IXV","19-Nov-2019","976.08","981.17","974.59","979.67","0"
"IXY","19-Nov-2019","1223.91","1224.56","1212.15","1215.35","0"
"JX","19-Nov-2019","523.72","524.83","521.63","522.47","46452500"
"KDX","19-Nov-2019","124.2","124.42","124.02","124.06","0"
"KIX","19-Nov-2019","298.89","300","298.62","298.91","0"
"KLX","19-Nov-2019","35.57","35.95","35.36","35.55","0"
"KPX","19-Nov-2019","795.65","797.94","794.84","795.26","0"
"KRX","19-Nov-2019","103.16","103.43","102.56","103.18","0"
"KSX","19-Nov-2019","397.35","399.14","396.32","398.34","0"
"KYX","19-Nov-2019","81.13","81.14","80.42","80.43","0"
"LOWA","19-Nov-2019","5","5","5","5","0"
"LOWC","19-Nov-2019","4","4","4","4","0"
"LOWD","19-Nov-2019","0.01","0.01","0.01","0.01","0"
"LOWE","19-Nov-2019","66","66","66","66","0"
"LOWN","19-Nov-2019","54","54","54","54","0"
"LOWQ","19-Nov-2019","49","49","49","49","0"
"LOWS","19-Nov-2019","7","7","7","7","0"
"LOWU","19-Nov-2019","104","104","104","104","0"
"LOWV","19-Nov-2019","4","4","4","4","0"
"M1DA","19-Nov-2019","-16","-16","-16","-16","18300"
"M1DB","19-Nov-2019","3","3","3","3","2800"
"M1DC","19-Nov-2019","91","91","91","91","196200"
"M1DE","19-Nov-2019","314","314","314","314","182600"
"M1DF","19-Nov-2019","15","15","15","15","6000"
"M1DG","19-Nov-2019","147","147","147","147","98500"
"M1DH","19-Nov-2019","344","344","344","344","365200"
"M1DI","19-Nov-2019","5","5","5","5","6900"
"M1DJ","19-Nov-2019","-2","-2","-2","-2","2800"
"M1DK","19-Nov-2019","23","23","23","23","6700"
"M1DL","19-Nov-2019","-220","-220","-220","-220","261500"
"M1DM","19-Nov-2019","6","6","6","6","3300"
"M1DN","19-Nov-2019","17","17","17","17","194500"
"M1DO","19-Nov-2019","14","14","14","14","10000"
"M1DP","19-Nov-2019","77","77","77","77","49600"
"M1DQ","19-Nov-2019","123","123","123","123","256500"
"M1DR","19-Nov-2019","0.01","0.01","0.01","0.01","3100"
